352810,4636,239,331
541705,6617,117,901
5107032,33851,13164,4404
204553,5164,57,447
307749,11202,150,800
2555997,126897,1115,9470
426636,20387,304,2612
1681417,85017,1038,7196
197356,6357,142,357
170608,3442,303,381
28456,849,41,357
91906,270,62,219
168561,20645,81,2100
329907,1158,190,434
1043993,58482,588,3389
1228127,47168,4719,6048
16296,361,32,85
1297769,2727,514,934
1774499,8057,2128,3396
200970,2034,271,199
11811,401,17,50
415382,12329,469,1746
10892,60,1,26
2064406,41329,2694,15667
273256,2408,121,263
50537,251,27,150
667703,3996,722,280
137388,974,76,691
9354,53,2,0
326281,8616,472,680
168512,224,72,182
2333602,4894,940,445
1097,9,0,7
645414,13560,495,1792
103175,6708,68,345
122620,756,49,445
358204,13019,196,521
943682,59232,236,5468
808962,17617,1060,5684
180554,3458,113,459
8075,55,0,6
96468,914,23,159
54261,203,4,30
80647,475,23,106
2953,105,0,21
19468,87,2,14
5292941,187251,17328,19816
231371,7945,47,786
1361619,20383,1020,3113
1849541,135169,5430,23408
1984548,25976,2917,2345
15093,210,3,26
5266,29,0,13
456328,4309,69,264
58026,274,5,105
396083,12221,463,1772
122194,22,12,5
414089,20839,521,6595
110816,3644,110,719
79080,2248,225,395
177155,9287,166,881
1139838,39393,1607,1519
174184,462,86,303
723981,50162,1000,4923
920080,21350,907,909
1749,15,0,9
14682,44,50,0
5127806,149929,8827,4964
496221,7571,521,1215
1824481,135734,1086,16234
544518,11937,1186,2333
1456039,54715,374,4067
1009649,9582,917,2779
1921063,20278,4008,7615
224878,5144,1135,999
1202045,34089,604,1055
6570611,746023,6687,102758
667937,48069,1015,2956
3622082,47583,994,4017
755108,74326,947,10379
921642,22071,1030,9138
755399,8424,767,866
847140,9325,650,1943
134887,549,242,485
2889867,222514,3288,23539
1578630,63141,1198,8810
960930,42549,775,3130
15731493,321403,57528,0
5854127,361422,22023,54671
1262710,42471,2547,8880
1937598,42203,836,7351
146749,400,458,1018
4257519,33617,6882,18323
42993,2010,59,189
329649,13226,337,2726
283060,5432,191,477
168353,7105,210,241
69042,5742,27,337
47369,2137,41,201
198260,1170,1325,1106
118491,2130,96,505
149552,6076,218,521
37460,2789,38,250
239956,15696,228,1915
55165,3312,118,467
7706359,659184,50584,199406
320296,6445,346,1247
677009,3097,755,1405
1276245,17804,912,1662
92947,4578,580,735
2587501,144171,1481,9933
3970421,107888,3861,22556
21421,166,28,92
219193,7936,165,1008
517133,14122,1718,2237
54377,3602,73,660
8418,20,94,59
166176,2921,49,404
172189,980,10,125
1268813,13834,670,1251
83356,608,32,70
186264,7703,544,1421
1360621,85965,1959,14243
195726,19447,34,1449
131335,11843,65,937
71187,390,5,27
64584,6610,52,391
129102,2432,295,1314
545072,25553,585,3016
1879131,43783,737,4341
139837,299,63,210
1704887,31922,1348,5073
625573,42524,653,9323
170124,2614,68,369
22975,22,1,40
2453843,104520,7808,7083
431464,10379,628,1025
30563,192,3,21
52532,1340,5,131
205267,8686,118,1976
868054,24364,976,4644
495762,6520,252,2910
181104,6500,101,375
86623,1924,48,213
944026,40807,672,3650
78103,387,30,29
2782871,203997,1054,16847
3572241,86493,9501,22016
185529,9801,297,1009
686662,35138,321,4762
483683,20265,450,1888
15681,57,0,9
1494086,35533,1135,5328
927303,38322,1099,3667
21083,1115,18,156
1755094,79451,1038,6290
165983,7999,124,759
1271855,43039,986,1955
444082,40292,530,4308
180370,14836,247,3052
25122,205,29,66
1297760,5693,1625,3561
213820,5137,743,766
648273,28646,845,2352
3165464,10556,446,1616
96381,3045,458,419
18335,269,4,62
1985761,78518,1879,3926
75427,1558,63,186
1379413,55269,694,4383
46955,1685,262,648
27429,430,15,363
48562,2268,36,137
896164,23663,911,3139
124487,4471,307,617
342410,25617,387,2360
12208330,411682,8567,21046
41169,178,6,79
43981,7258,37,1537
282915,8924,209,942
654311,65224,392,4188
1004055,46870,817,5114
104166,152,39,36
650931,19203,309,2088
1546536,36722,1111,6460
77810,4298,16,419
490309,19610,386,3079
263630,4451,169,666
1072349,20846,1260,8703
3689337,69240,4547,9039
78220,2053,41,121
1424830,54077,1848,4710
46574,1530,36,251
234972,501,798,684
247504,14354,156,1554
287672,24003,168,2502
12954,0,0,0
32056,1051,27,153
151594,1214,65,239
88235,4752,62,395
95900,6507,67,726
971242,26435,748,1055
999412,29142,616,6399
3012697,103685,1534,7761
240887,4015,196,1307
554486,26842,262,3918
36740,2649,23,206
17577,1654,12,160
188410,546,14,0
69071,148,5,33
64817,2682,92,511
267907,1072,184,0
406343,12581,213,471
186965,16782,81,1249
422306,22594,249,3845
33997,180,10,67
1465819,75284,1188,4244
32489,3979,12,258
76023,6729,84,441
56311,0,0,0
298016,5118,46,754
1968008,40143,2033,4709
49254,2668,117,547
169585,10610,63,1109
132165,638,48,140
682207,3589,1652,954
686381,36812,1322,15557
294571,17028,285,1634
5287771,19798,2919,2275
335308,3947,105,661
18744,1830,46,264
301893,12305,332,1094
5027180,110390,2363,12177
51785,4965,13,679
156899,10461,143,1203
1178955,15427,1003,4730
3101709,19954,773,6239
65718,159,258,278
154746,2186,102,467
368018,3531,24306,6466
61933,4848,137,699
4906976,2473,1582,36
216713,5329,60,471
389363,16146,648,1686
489523,954,139,602
34255,149,11,85
361683,19006,122,1128
282594,13479,235,1461
518533,5847,290,413
574541,6854,129,982
1516624,76278,1541,3989
143859,5489,126,361
2813499,29658,2316,7275
2751415,131470,1174,9680
5952,209,14,29
109331,2870,101,537
5502137,35892,13695,4523
2223,261,0,31
437796,20699,312,2277
201901,10034,148,591
119730,5533,73,693
140494,391,7,27
28768,850,41,274
208370,6608,151,393
10851,1023,8,111
59706,365,12,45
1738837,86547,1065,7331
585176,3334,1342,6369
4085560,198696,11446,21514
290939,6341,1613,1053
436361,7828,854,1188
616112,1207,436,1551
2167963,49804,4472,15358
1302666,22810,3615,5460
408822,3964,1156,1227
1040038,12692,978,2083
209816,2672,204,256
3542861,323439,5411,21570
713391,3204,143,582
374344,42116,229,6046
122900,8278,278,1987
238746,9567,169,991
347928,16829,527,2111
